Zaloznik,zanr1,zanr2,esbr 
Gaming,Small Spaceship,Combat,T
Blitz,Other,Kart,E
INTERNET,Shooter,Top-Down,
SCEA,Sim,Sim,E
Psytec,3D,First-Person,E
Kush,Sim,Sim,E
Rose,Action Adventure,General,
Omega,Action,3D,T
Braingame,Sci-Fi,Third-Person,T
EA,Basketball,Sim,E
Amaze,General,Linear,T
Amaze,Japanese-Style,3D,T
Rebellion,Tactical,Historic,M
Griptonite,Historic,Open-World,M
Nippon,Role-Playing,Action RPG,T
EA,Open-World,Modern,M
Xpec,Sci-Fi,Arcade,T
Sega,Party,Party,E
Conifer,Turn-Based,4X,
AWE,Action Adventure,Fantasy,
Warthog,Sci-Fi,Small Spaceship,T
EA,Arcade,Arcade,E
The,General,General,T
DreamRift,2D,3D,E
Snowblind,Action RPG,Action RPG,M
Image,Role-Playing,Japanese-Style,T
Bloober,Action Adventure,Survival,M
Ubisoft,Historic,Open-World,M
Bungie,First-Person,Arcade,T
Silvio,Third-Person,Modern,E
Klein,Platformer,2D,E
Crave,Puzzle,General,E
Shiny,Action Adventure,Sci-Fi,T
Virtucraft,Platformer,2D,T
Saffire,Fighting,3D,T
Namco,Compilation,Compilation,
Warashi,Scrolling,Vertical,
Tik,Gambling,Gambling,T
Battlefront,General,Tactics,
Saber,Fantasy,Arcade,M
Visual,3D,First-Person,
Jupiter,Edutainment,Edutainment,E
3DClouds,Arcade,Automobile,E
Cold,Static,Top-Down,E
Hothead,Action RPG,3D,T
From,Vehicle,Combat,T
Saber,Basketball,Arcade,E
Harmonix,Music,Music,T
Black,Sci-Fi,General,T
Sumo,Logic,Logic,E
Causal,Platformer,2D,
Etranges,Platformer,3D,
DarkStar,Action Adventure,General,
Black,Arcade,Automobile,
Mediatonic,Turn-Based,Tactics,
Rudolf,General,General,
Nintendo,Music,Music,E
Southend,Action,2D,T
Marvelous,General,Management,E
LucasArts,3D,3D,E
Adrenium,Platformer,3D,E
Clover,Action,2D,T
Warm,Strategy,General,T
Might,2D,2D,
Armature,Action Adventure,General,T
d3t,Puzzle,Action,E
iFun4all,General,Linear,M
SCEA,Basketball,Sim,E
Replay,Arcade,Automobile,T
SCEA,3D,3D,T
Saffire,Third-Person,Fantasy,T
Visual,Alternative,Snowboarding,E
Bits,Action Adventure,Modern,M
Digital,Traditional,Boxing,T
Rage,Third-Person,Sci-Fi,T
Eurocom,Basketball,Arcade,E
KCET,Shooter,Rail,M
Playrise,Arcade,Automobile,E
Milestone,Simulation,Automobile,E
Microvision,Role-Playing,Japanese-Style,
Vicious,Scrolling,Vertical,M
Centauri,Adventure,General,
Treyarch,General,General,T
Haemimont,Historic,Government,
Frima,Management,Tycoon,T
Capcom,Sci-Fi,Arcade,T
Zombie,Modern,Arcade,T
Delve,Platformer,2D,E
Treyarch,3D,3D,T
Konami,Miscellaneous,Compilation,T
Ubisoft,Action,Arcade,T
Croteam,Sci-Fi,Arcade,M
Beenox,Sci-Fi,General,
Ubisoft,Modern,Arcade,T
Racjin,Snowboarding,Snowboarding,E
Slant,Modern,Arcade,M
Obsidian,First-Person,Western-Style,M
Mine,2D,2D,T
Tri,Action RPG,Action RPG,
Daedalic,3D,Third-Person,M
Digixart,Rhythm,Music,E
Merge,Platformer,3D,E
Arc,Rhythm,Music,T
Human,Historic,Arcade,T
Mercury,Horror,Survival,M
The,3D,First-Person,T
Slick,Arcade,Automobile,
Piranha,Role-Playing,Western-Style,T
SCE,General,Action RPG,T
Sega,Role-Playing,Japanese-Style,T
Camouflaj,Action Adventure,Linear,
Blitz,Platformer,3D,E
Cerasus,General,Matching,E
Krome,Platformer,2D,E
Black,Fighting,3D,T
Ubisoft,,,T
Frontier,Platformer,3D,E
Atomic,General,Historic,T
Babylon,Racing,Kart,T
Ubisoft,Tactical,Modern,M
Mad,General,Historic,T
Rhino,Virtual,Career,
Pasta,Platformer,2D,E
Blazing,Action,General,
ZANDEL,,,
Bizarre,Modern,Arcade,T
Oudidon,Arcade,Automobile,E
Climax,Action Adventure,Linear,T
SideQuest,Scrolling,Vertical,E
Telltale,General,General,M
Double,Sci-Fi,Arcade,T
Streko,Fantasy,Fantasy,E
Beenox,Sci-Fi,General,
Climax,Simulation,Automobile,E
Irem,Action Adventure,Modern,T
TikGames,2D,2D,
Square,Role-Playing,Action RPG,
Petroglyph,Real-Time,Command,
Kadokawa,Role-Playing,Japanese-Style,T
Puzzling,Platformer,2D,T
Gaming,General,Historic,T
Serious,Platformer,2D,T
Candygun,General,General,T
Guppyworks,General,General,E
Backbone,Scrolling,Horizontal,
Gusto,Golf,Sim,E
Capcom,Role-Playing,Action RPG,E
5000ft,Parlor,Gambling,T
Genki,Driving,Racing,E
3d6,,,T
Titus,Flight,Modern Jet,E
Activision,,,E
Mercury,Horror,Survival,M
SCEJ,Puzzle,General,T
Hypnotix,Golf,Arcade,M
EA,Soccer,Arcade,E
Mercury,General,Fantasy,M
Sonic,3D,3D,
Tilted,Modern,Government,
Now,Survival,3D,M
Rebellion,Modern,Arcade,M
Infinite,Matching,General,E
EA,Board Games,Board Games,E
TOSE,Role-Playing,Japanese-Style,T
Gattai,3D,First-Person,T
MagneticRealms,Platformer,2D,T
Sony,Puzzle,Action,E
KING,General,General,
Antagonist,Action Adventure,Survival,
Phosphor,Action Adventure,Linear,T
Ready,Sci-Fi,Arcade,M
FireFly,General,Historic,T
Hydravision,Horror,Survival,M
Creative,General,Historic,
Prope,General,General,E
SCEA,Basketball,Sim,E
KCET,Action Adventure,Modern,T
Acclaim,Platformer,3D,T
Ubisoft,Racing,On-foot,E
Luxoflux,Driving,Car Combat,T
Konami,Shooter,Rail,M
Daydream,General,General,E
Climax,Racing,Arcade,T
Zed,Turn-Based,Sci-Fi,T
Omega,Action,3D,T
Gust,,,T
LOOT,Adventure,General,T
Konami,Card Battle,Card Battle,T
Mutant,,,
Koei,Futuristic,Futuristic,
Beenox,2D,3D,T
Santa,Racing,General,
Jaywalkers,First-Person,Arcade,M
Telltale,Puzzle,General,
Quicksilver,Sci-Fi,General,E
Fatshark,2D,3D,T
Climax,Racing,Futuristic,E
Experience,Roguelike,Western-Style,M
Milestone,Simulation,Automobile,E
Wanako,,,T
Deco,3D,First-Person,E
Traveller,Action Adventure,Fantasy,E
Gearbox,Sci-Fi,Arcade,M
Sierra,Gambling,Gambling,E
Io,Modern,Arcade,M
Capcom,Action Adventure,Sci-Fi,T
Spike,3D,3D,T
Rainbow,Arcade,Automobile,E
Omega,Action,3D,T
Sumo,Kart,Automobile,E
Vicarious,Action,General,E
Sony,Sci-Fi,Arcade,T
Asylum,Horror,Survival,M
Reality,General,Fantasy,T
Barnhouse,Driving,Car Combat,T
SCE,Third-Person,Sci-Fi,T
Syscom,Flight,Helicopter,E
Genetic,General,General,E
High,General,Fantasy,
Question,Action Adventure,Survival,
Puppy,Top-Down,Vertical,E
Digital,Compilation,Compilation,M
White,3D,First-Person,T
Project,General,Combat,T
Asobism,General,General,E
Bungie,First-Person,Arcade,
THQ,Motocross,Motocross,E
Savage,Sci-Fi,Arcade,T
DC,General,General,
Heavy,Action Adventure,Modern,T
Falcom,Action RPG,Compilation,T
Ubisoft,Snowboarding,Snowboarding,T
GCP1,Dancing,Dancing,
EA,Basketball,Sim,E
Mandragora,Survival,Roguelike,
Insomniac,General,General,M
Rare,Other,Kart,E
Dimps,2D,2D,E
Supergonk,Arcade,Futuristic,E
Three,Golf,Arcade,E
Milestone,Racing,General,E
SCEA,Sim,Sim,E
MediaMobsters,General,Modern,M
Virtucraft,Traditional,Boxing,E
X,Action,General,E
Electronic,First-Person,Historic,T
Namco,Arcade,Automobile,E
Big,First-Person,Arcade,
High,3D,Arcade,M
GSC,Real-Time,Command,
3G,Gambling,Gambling,T
Games,Role-Playing,Action RPG,M
SNK,2D,2D,T
tinyBuild,Action Adventure,Survival,M
Spiral,Virtual,Pet,E
KUNO,General,Defense,
BioWare,Action RPG,Action RPG,M
Deep,General,General,E
Rovio,General,Compilation,E
High,First-Person,Modern,T
Milestone,Street,Street,
Kunos,Simulation,Automobile,E
Bitbox,General,Action RPG,
Choice,Platformer,2D,E
Adrian,Platformer,2D,T
Rock,Platformer,2D,T
Vile,Real-Time,Tactics,
Luxoflux,3D,Arcade,T
Day,Sci-Fi,Arcade,T
Electronic,Party,Party,E
Cyanide,Role-Playing,General,M
Phantomery,Third-Person,Modern,
Ubisoft,,,E
Metro,Rhythm,Dancing,E
Hidden,,,E
Stainless,Static,Top-Down,E
Fishlabs,Space,Combat,
Digital,Top-Down,Vertical,E
Spellbound,General,Action RPG,T
Fireglow,General,Historic,T
,,,
Rock,Platformer,2D,T
Artificial,Action Adventure,Modern,
Infamous,Adventure,General,
Amaze,General,Historic,T
KING,Adventure,General,
TOYBOX,Turn-Based,General,T
Now,General,General,E
Digital,Individual,Athletics,E
Mojo,Adventure,General,
Creat,Wakeboarding,Wakeboarding,E
MileStone,Shooter,Scrolling,E
Pyramid,Compilation,Compilation,T
Ubisoft,Dancing,Dancing,
Rebelmind,Action RPG,Action RPG,T
RideonJapan,General,Tactics,T
XGenStudios,,,
Dakko,Real-Time,General,E
Kalypso,Real-Time,General,T
Arc,Puzzle,General,E
Double,Strategy,Management,
Bandai,Role-Playing,Action RPG,T
Omega,Action,3D,T
Nex,Role-Playing,General,T
Kalypso,Modern,Modern,T
Colibri,General,General,
Vitamin,Puzzle,General,E
Cavia,Role-Playing,Action RPG,M
Ubisoft,,,T
SCi,Driving,Racing,E
Sting,,,E
Funcom,General,General,T
Coffee,Simulation,General,M
Ankama,Fantasy,Fantasy,
SCEA,Other,Kart,E
Altered,3D,First-Person,E
Krome,General,General,
Codemasters,Formula One,Automobile,E
Bohemia,Space,Combat,
NVYVE,Shooter,Arcade,
Million,Role-Playing,Japanese-Style,
Bloober,Action,Arcade,M
Slitherine,Sci-Fi,Third-Person,
Big,Turn-Based,General,T
Atari,WWII,Combat,T
Dark,Billiards,Billiards,E
Pivotal,Tactical,Modern,M
Crytek,Modern,Arcade,T
Saber,Basketball,Arcade,
Gameloft,Arcade,Arcade,E
Gas,Action RPG,Action RPG,M
KeokeN,3D,Third-Person,T
Backbone,Static,Top-Down,M
Cavia,Action,General,T
Obsidian,First-Person,Western-Style,M
Silver,Board Games,Board Games,E
Positech,Management,Tycoon,T
Eurocom,Platformer,3D,E
Human,First-Person,Historic,T
Warthog,Action Adventure,Fantasy,E
Outrage,Third-Person,Fantasy,T
Traveller,Platformer,3D,E
989,Football,Sim,E
Raven,Sci-Fi,Arcade,T
Kemco,Driving,Racing,E
Capcom,Third-Person,Fantasy,M
Milestone,Motorcycle,Street,E
GungHo,Fantasy,Tactics,T
HUCAST,Shooter,Vertical,
Unicube,Real-Time,Defense,
GRIN,Modern,Arcade,M
Capcom,Horror,Survival,M
Square,Role-Playing,Japanese-Style,M
Vicarious,Third-Person,Arcade,
Vicarious,Third-Person,Arcade,
Vivarium,Miscellaneous,Virtual Life,E
Wideload,Gambling,Gambling,T
Etranges,3D,3D,
From,Mech,Combat,T
Upper,Platformer,2D,
Kylotonn,Simulation,Automobile,E
Konami,Puzzle,Action,
Hangar,Action Adventure,Open-World,M
Eutechnyx,Driving,Racing,T
EXOR,Action,General,M
Electronic,Arcade,Automobile,T
Volition,Action Adventure,Open-World,M
Ubisoft,Modern,Open-World,M
Gaijin,Other,Other,E
VSTEP,Marine,Civilian,E
Supersonic,Arcade,Automobile,E
EA,Sim,Sim,E
DreamFactory,,,T
Konami,Action,Arcade,
EA,Simulation,Automobile,
Digitalo,Sci-Fi,Arcade,M
Now,General,General,E
Rebellion,Third-Person,Tactical,M
Shawn,General,Arcade,E
Silver,Flight,WWI,T
Razorworks,Driving,Racing,E
Elixir,General,Modern,T
Shiny,Action Adventure,Sci-Fi,T
Pivotal,Tactical,Modern,T
Acclaim,Fighting,Wrestling,T
Capcom,Action,General,E
Light,Fighting,3D,M
Koei,Fighting,3D,T
Rebellion,Third-Person,Arcade,M
Hi,Platformer,2D,
Atari,General,Automobile,E
Ubisoft,Miscellaneous,Compilation,
Creative,Real-Time,General,
SCEA,Miscellaneous,General,
Triplevision,Platformer,2D,
Fatshark,General,General,RP
Devespresso,Action Adventure,Survival,T
Ubisoft,Marine,Combat,T
Unicorn,Historic,General,
Techland,Sci-Fi,Arcade,M
Artificial,Horror,Survival,E
Fuse,Parlor,Pinball,E
Vivarium,Parlor,Pinball,
NapNok,,,E
Blitz,Scrolling,Vertical,E
Buena,Sci-Fi,General,
Monte,Action RPG,Action RPG,T
Game,Platformer,2D,T
Tiny,3D,First-Person,
D,Adventure,General,T
Racjin,General,Trainer,E
Io,Modern,Arcade,M
Midway,Combat,Wrestling,T
Three,Arcade,Automobile,
Artificial,Platformer,3D,E
Iceberg,Vehicle,Combat,T
Konami,2D,2D,E
Tate,Platformer,3D,E
Griptonite,Racing,Arcade,E
Opus,Nature,Fishing,E
Konami,Sports,Olympic Sports,E
Natsume,Fighting,Wrestling,E
Minor,Action Adventure,General,
Sanzaru,Platformer,3D,E
ChunSoft,Role-Playing,Roguelike,E
Neverland,General,Fantasy,
Hudson,Party,Party,E
Wales,Puzzle,General,T
Exient,General,Compilation,E
Koei,Role-Playing,Japanese-Style,T
Armature,General,Fantasy,T
TT,General,Modern,
EA,Puzzle,General,E
EasyGameStation,Action RPG,Action RPG,
SquareSoft,Role-Playing,Japanese-Style,T
Telltale,,,M
Beenox,Fantasy,3D,T
Stickmen,Puzzle,General,E
TOSE,General,Japanese-Style,
Freeverse,Sci-Fi,Arcade,M
Frogwares,General,General,T
Milestone,Arcade,Automobile,E
Nintendo,Sports,General,E
Acquire,Music,Music,
Heavy,Action Adventure,Modern,T
Square,Nature,Fishing,T
Ubisoft,Historic,Open-World,M
Honey,Action,Pinball,M
Tessera,Action Adventure,General,M
RainDance,Action Adventure,General,
Asobo,3D,3D,E
GRIN,Modern,Arcade,M
Cingular,Real-Time,General,T
Red,,,
Blitz,Platformer,3D,E
Black,Basketball,Arcade,T
Konami,Sports,Olympic Sports,E
Red,Modern,Modern,T
Dreadlocks,Role-Playing,Action RPG,
Creatures,General,Fantasy,E
AI,Logic,Logic,E
Rockstar,General,Modern,M
Fun,Action,General,
Third,Modern Jet,Combat,T
Crea,,,T
Uber,Real-Time,Command,
Amuze,Action Adventure,Sci-Fi,M
Petroglyph,Real-Time,Command,
Inti,Shooter,Light Gun,M
SegaSoft,Action Adventure,General,
High,Third-Person,Sci-Fi,
Invader,Action Adventure,Survival,
SCE,Action Adventure,Modern,M
Konami,Combat,Wrestling,M
PostMod,Adventure,Fantasy,
Toys,General,General,E
Fatshark,2D,3D,T
Omega,,,T
Nine,Role-Playing,General,M
10tons,Role-Playing,General,
Headup,Platformer,2D,
Owen,3D,First-Person,E
10tons,Action,General,
Neon,General,Linear,
WB,Action Adventure,Open-World,M
Shin,3D,3D,
Eutechnyx,Stock Car,Automobile,E
Loose,General,General,
Smart,General,General,E
Beenox,3D,3D,T
Pyro,Historic,Historic,T
Silver,Board Games,Board Games,E
Clover,,,T
Big,Platformer,2D,E
Backbone,Miscellaneous,Compilation,
Funatics,General,Fantasy,T
JoWooD,Modern,Arcade,T
Outrage,Third-Person,Fantasy,T
Eutechnyx,Racing,Truck,T
SCEA,Basketball,Sim,E
Innonics,General,Fantasy,T
Konami,Basketball,Sim,E
NCSOFT,Massively Multiplayer,Fantasy,T
Compulsion,Action Adventure,General,M
Rebellion,Third-Person,Arcade,M
High,Modern,Modern,T
Bandai,,,E
BudCat,Football,Sim,
Namco,General,Arcade,E
Other,Compilation,2D,M
Jason,Action,General,
Pyro,Tactical,Historic,T
Capcom,Role-Playing,Action RPG,E
,Arcade,Arcade,M
Robot,Action,2D,
Cohort,,,E
Pipeworks,Fighting,3D,T
The,General,General,
Kylotonn,Futuristic,Futuristic,
Konami,Card Battle,Card Battle,E
Micro,Simulation,Ship,T
Ubisoft,Action Adventure,Linear,T
Krome,Strategy,General,
InXile,Puzzle,General,E
Supergonk,Arcade,Futuristic,E
Most,Scrolling,Vertical,M
Webfoot,,,E
Full,City Building,Modern,E
Radical,Puzzle,Stacking,E
Capcom,Action Adventure,Horror,M
Max,Turn-Based,Fantasy,E
Shrapnel,Strategy,General,
From,Role-Playing,First-Person,T
SNK,Fighting,2D,T
Ubisoft,Platformer,2D,
Ivolgamus,Puzzle,General,E
Larian,Action RPG,Action RPG,M
Square,Fighting,3D,T
City,General,General,
Zoonami,Puzzle,General,E
Namco,Puzzle,General,E
Mass,Miscellaneous,Compilation,E
Tamsoft,2D,2D,T
Yager,Sci-Fi,Sci-Fi,T
Interceptor,Platformer,2D,M
10tons,Puzzle,Matching,E
Pocket,Action,2D,
Black,Driving,Racing,
Poisoft,General,General,E
The,3D,First-Person,T
Techland,Modern,Arcade,M
Marvelous,2D,2D,E
Pivotal,Tactical,Modern,M
Dragonstone,Platformer,3D,T
Naked,Scrolling,Top-Down,E
IR,Modern Jet,Combat,T
Ubisoft,General,Modern,E
GungHo,Shooter,Vertical,E
Notch,Action Adventure,Sandbox,
The,3D,First-Person,M
Midway,Sci-Fi,Arcade,T
Sirius,General,General,M
Transmission,WWII,Combat,T
Strategy,Arcade,Automobile,T
Ubisoft,General,General,T
Arika,Scrolling,Vertical,E
Lionhead,Action RPG,Action RPG,M
Climax,Racing,Futuristic,E
WinkySoft,Miscellaneous,Card Battle,E
B,Tycoon,Management,E
Capcom,Racing,Arcade,E
GenePool,Action Adventure,Sci-Fi,T
Radon,General,Fantasy,T
Magenta,Platformer,3D,E
DreamCatcher,Management,Tycoon,M
Opus,Driving,Racing,E
Mobius,Baseball,Sim,E
Infogrames,Strategy,General,T
Tiwak,Platformer,3D,E
Compile,Role-Playing,Action RPG,T
Kukouri,Shooter,Top-Down,T
Traveller,General,Fantasy,
Sloclap,Role-Playing,Action RPG,T
Targem,Demolition Derby,Automobile,M
Xpec,General,General,
Behold,General,General,
Q,Arcade,Automobile,E
Konami,Action Adventure,General,M
Toys,General,General,
Warcave,Real-Time,General,
Zengami,Puzzle,Action,E
Tindalos,Sci-Fi,General,
RichMakeGame,Shooter,Top-Down,
Taito,General,General,E
Milestone,Driving,Racing,
Santa,Music,Music,E
Cooking,Virtual,Career,E
Remedy,Arcade,Automobile,T
Eiconic,Logic,Logic,E
Rapid,Fantasy,General,T
Multimedia,,,E
Nd,Racing,Futuristic,E
Atari,Strategy,Tycoon,E
Tantalus,Racing,Kart,E
Akella,General,General,E
UDS,Driving,Racing,E
Fragment,Management,Government,
Insomniac,General,General,M
Eutechnyx,Stock Car,Automobile,E
Kitfox,Role-Playing,Action RPG,
Rebellion,Historic,Historic,
Piranha,Role-Playing,Western-Style,M
Tarsier,Action Adventure,Linear,T
Alvion,Action,General,T
Meteorise,Rhythm,Music,
Codemasters,Formula One,Automobile,E
Milestone,Driving,Racing,
Blue,Platformer,2D,E
Load,Arcade,Automobile,E
Team,Wargame,Artillery,
Deep,Action,2D,T
Dimps,Fighting,3D,
High,Third-Person,Modern,M
CyberConnect2,Fighting,3D,T
Black,Other,Other,
Namco,Action,3D,M
Curve,,,T
Visual,Sim,Sim,
Omega,Action,3D,T
NBGI,General,Arcade,
Day,Sci-Fi,Arcade,T
Page,Ice Hockey,Sim,
Icon,Individual,Other,E
Tale,General,General,
Kalypso,Modern,Tactics,M
Ubisoft,Action Adventure,Open-World,M
Digital,Puzzle,Action,E
Compulsion,Puzzle,Action,T
Bandai,Action Adventure,Open-World,
Spike,Role-Playing,Japanese-Style,M
High,3D,Arcade,M
Nex,Action Adventure,Horror,M
Warthog,First-Person,Sci-Fi,M
Traveller,Platformer,3D,E
Reflections,Driving,Mission-based,T
Guild,Sci-Fi,Sci-Fi,T
Bizarre,Modern,Arcade,T
Electronic,Virtual,Virtual Life,
Blue,Action,General,
7,,,T
Happy,Real-Time,Defense,
Omega,Action,3D,T
Blackpowder,3D,First-Person,
Yuke,Combat,Wrestling,T
MakinGames,Action,2D,T
Square,General,General,E
Provox,Large Spaceship,Civilian,T
EA,Fantasy,Fantasy,E
Stormfront,General,General,
Gust,General,Japanese-Style,T
Q,Puzzle,General,
yeo,Action,2D,M
Asakusa,Role-Playing,General,T
Pewter,Action Adventure,Linear,
Bedtime,Action,General,
Mighty,Real-Time,Tactics,
Fair,Platformer,3D,E
Spike,Role-Playing,Japanese-Style,M
Now,General,General,
Next,Action,General,
Detalion,Sci-Fi,Sci-Fi,E
Inevitable,General,Fantasy,E
Dragonstone,3D,3D,T
Amaze,Combat,Wrestling,T
Playground,Simulation,Automobile,
Eurocom,Action Adventure,General,
Eurocom,Sports,Olympic Sports,E
Altron,Scrolling,Vertical,E
TimeGate,Modern,Arcade,M
EA,Golf,Sim,E
Kadokawa,Role-Playing,Japanese-Style,T
QUByte,Action,2D,T
Zombie,Modern,Arcade,T
Atomic,Modern,Modern,T
Spark,Sci-Fi,Arcade,T
Funcom,Action Adventure,Survival,M
Blowfish,First-Person,Arcade,T
Atrax,General,General,
Pivotal,Modern,Modern,M
OfficeCreate,Virtual,Career,E
DMM,Rhythm,Music,T
Climax,General,General,E
IllFonic,Action Adventure,Survival,M
VooFoo,Miscellaneous,Board Games,E
Softlab,Truck,Automobile,T
n,Sci-Fi,Arcade,
989,Baseball,Sim,E
Silicon,Soccer,Arcade,E
Artoon,Action,General,E
Paradox,General,Historic,E
Black,First-Person,Modern,T
Infogrames,Action Adventure,Modern,T
Guru,3D,First-Person,
High,2D,3D,
CyberConnect2,Fighting,3D,T
Mind,Action,General,T
Cyanide,Other,Arcade,T
Heavy,General,Modern,
Gorilla,General,General,E
Neko,Other,Other,E
Choice,,,M
Kalypso,Strategy,General,T
Vertex,Shooter,Horizontal,E
Happion,Static,Top-Down,E
High,Modern,Modern,T
Ubisoft,3D,3D,E
Snowblind,Action RPG,Action RPG,M
EA,Action Adventure,Fantasy,
THQ,Motocross,Motocross,E
Omega,Action,3D,T
IllFonic,Action Adventure,Survival,M
Dimps,Third-Person,Arcade,T
Milestone,Simulation,Automobile,
Ubisoft,Other,Other,T
Artificial,General,Fantasy,
Sting,Role-Playing,General,
Cyanide,Action RPG,Action RPG,M
Zindagi,General,Fantasy,
Phantagram,Action,2D,M
Zed,Turn-Based,Sci-Fi,T
Krome,Action Adventure,Fantasy,T
Aki,Fighting,Wrestling,T
Konami,Miscellaneous,Card Battle,E
Similis,Futuristic,Automobile,E
Argonaut,Action,General,E
Sabotage,Platformer,2D,
Lienzo,Open-World,2D,E
Fugitive,Action Adventure,General,
Idol,Third-Person,Fantasy,
InXile,General,Fantasy,M
MakinGames,Action,2D,T
NATSUME,General,Logic,E
Backbone,Platformer,2D,E
Cliffhanger,General,Tactics,
Bungie,First-Person,Arcade,
Fabrik,Shooter,Top-Down,M
NG,Scrolling,Vertical,
Next,General,General,T
Cyanide,Other,Arcade,T
Zombie,First-Person,Modern,T
Monte,Modern,Government,E
Rockin,2D,2D,
3rd,3D,First-Person,T
Digital,General,Arcade,E
Crawfish,Third-Person,Fantasy,T
Supersonic,Arcade,Automobile,E
Ubisoft,Other,Other,T
Grip,2D,2D,T
989,Football,Sim,E
Climax,Motorcycle,Street,E
Eighting,Fighting,3D,T
369,Modern,Modern,M
Zuxxez,Historic,Tactics,T
KCE,Flight,Modern Jet,E
KCEO,Sports,Olympic Sports,E
Sega,2D,2D,E
Double,Sci-Fi,General,T
2K,Historic,Open-World,M
Capcom,2D,3D,T
Metro3D,Fighting,2D,M
Edge,Platformer,3D,
Ubisoft,Sci-Fi,General,T
Unicube,Real-Time,Defense,
Deadbeat,Action,3D,T
Backbone,Compilation,Compilation,T
Artificial,Platformer,3D,E
Ubisoft,,,
InXile,General,Fantasy,M
Blitz,3D,3D,E
From,Modern,Linear,M
Magic,General,Fantasy,
Edge,Platformer,3D,
Flight,Action Adventure,Survival,
Noumena,General,Action RPG,RP
FuRyu,First-Person,Western-Style,T
Creat,Vehicle,Combat,E
Volatile,Modern,Arcade,M
4Head,General,Historic,T
Codemasters,Simulation,Automobile,E
Page,Sim,Sim,E
Inevitable,Third-Person,Fantasy,E
Strategy,Sci-Fi,General,T
Gratuitous,First-Person,Modern,M
Papaya,Alternative,Skateboarding,E
Fox,Racing,Arcade,T
Ubisoft,Platformer,3D,E
Crazy,Action Adventure,Horror,M
Rayland,Sci-Fi,Small Spaceship,E
Spike,Fighting,3D,T
Rebellion,Third-Person,Modern,T
Aspyr,3D,Third-Person,M
Codemasters,Formula One,Automobile,E
GRIN,Modern,Arcade,M
Digital,General,Arcade,E
CyberConnect2,Fighting,3D,T
Tequila,3D,First-Person,M
Cattle,Role-Playing,General,T
Spark,Sci-Fi,Arcade,T
2XL,Simulation,Automobile,E
Ubisoft,Simulation,Automobile,T
Streum,First-Person,Western-Style,RP
Zerodiv,General,Western-Style,T
Artificial,3D,3D,E
Southend,Action,2D,T
Games,Modern,Modern,
Liquid,Virtual,Virtual Life,T
Spike,General,Career,T
5000ft,Parlor,Gambling,T
NanaOn,Rhythm,Music,E
Footprints,,,E
Holospark,First-Person,Tactical,T
Bungie,First-Person,Arcade,
Bitmap,,,T
Frozenbyte,General,Tactics,
Versus,,,
Rocksteady,Action Adventure,Open-World,M
Maxis,Modern,Government,
ValuSoft,General,General,T
RTL,,,E
Stormfront,General,General,
Magellan,Card Battle,Card Battle,T
Ubisoft,Surfing,Surfing,
EA,Sim,Sim,E
Artificial,Action Adventure,Modern,
Firaxis,Historic,4X,E
Object,Role-Playing,Western-Style,T
Jaleco,Action Adventure,Fantasy,T
Human,General,General,M
Midway,Role-Playing,Action RPG,T
Gust,Role-Playing,Japanese-Style,M
KING,Role-Playing,General,M
Pterodon,Historic,Arcade,M
Zero,Sci-Fi,General,
EA,Puzzle,General,E
Ubisoft,First-Person,Arcade,M
Keen,Rhythm,Dancing,E
Backbone,3D,3D,T
The,3D,First-Person,M
Space,General,General,
Deck,Third-Person,General,T
Moss,Shooter,Scrolling,
Sold,Third-Person,Arcade,T
Crytek,General,Fantasy,M
Bandai,Fighting,3D,T
Access,Action Adventure,Modern,M
Diversions,3D,3D,T
HB,Alternative,Rugby,E
Kuju,Driving,Racing,E
Ubisoft,Platformer,3D,E
ProSim,Real-Time,General,
Krome,Alternative,Surfing,E
FeelPlus,Action,2D,
Zombie,Modern,Arcade,T
TOSE,Survival,Open-World,M
G,Sci-Fi,Arcade,T
LucasArts,General,General,T
EA,First-Person,Modern,T
Shin,Arcade,Arcade,E
NG,Shooter,Vertical,E
High,3D,Arcade,M
Ubisoft,3D,3D,
Luxoflux,3D,Arcade,T
SCS,Vehicle,Civilian,E
Codemasters,Formula One,Automobile,E
Nippon,Role-Playing,Action RPG,T
Armature,General,Fantasy,T
Deep,Modern,Arcade,M
10tons,Shooter,Top-Down,T
Gatling,Action Adventure,Linear,
IF,Adventure,General,
Harmonix,Vertical,Horizontal,
Blitz,Action,2D,T
EA,Boxing,Combat,T
Ubisoft,General,Modern,M
7,,,T
Eurocom,General,Fantasy,
Codemasters,Formula One,Automobile,E
Game,Action RPG,Action RPG,T
Gammick,General,Modern,T
Techland,Modern,Arcade,M
Maxis,Sci-Fi,General,
Team,2D,2D,E
Digital,Miscellaneous,Compilation,
Forever,Adventure,General,
Bits,Action Adventure,Modern,M
Altar,General,Command,T
Acclaim,Racing,Arcade,E
Digital,,,E
Hitmaker,Sports,Olympic Sports,E
Argonaut,First-Person,Sci-Fi,M
Silicon,Sci-Fi,General,M
Team,Puzzle,Action,T
Atari,General,Automobile,E
Ghost,Arcade,Automobile,T
Akella,Action RPG,Action RPG,M
Sanzaru,Platformer,3D,
Appeal,General,Open-World,T
2K,Sim,Sim,E
EA,Simulation,Automobile,
Hello,Action Adventure,Open-World,T
Frogwares,Action Adventure,Survival,M
Climax,Tactical,Modern,T
Good,General,General,E
