Zaloznik,zanr1,zanr2,esbr
From,Action RPG,Action RPG,M
Obsidian,Role-Playing,Western-Style,M
Bethesda,First-Person,Western-Style,T
Digital,2D,2D,T
Subset,Turn-Based,Tactics,
Codemasters,Simulation,Automobile,E
Lionhead,Action RPG,Action RPG,M
Q,Shooter,Rail,
Ubisoft,Music,Music,T
Treyarch,Ice Hockey,Sim,E
TOSE,,,T
Black,First-Person,Western-Style,M
Harmonix,Music,Music,T
Ubisoft,Historic,Open-World,M
Valve,Sci-Fi,Tactical,M
KCET,Sim,Sim,E
Sports,Management,Management,E
Motion,Platformer,2D,
Tom,Action Adventure,General,
Certain,Sci-Fi,Arcade,M
Valve,Sci-Fi,Arcade,M
Valve,Sci-Fi,Tactical,M
Respawn,First-Person,Arcade,M
Codemasters,Simulation,Automobile,E
From,Role-Playing,Action RPG,M
Capcom,Action Adventure,General,M
M2,Shooter,Horizontal,
BioWare,Role-Playing,Action RPG,M
Neversoft,Alternative,Skateboarding,T
Treyarch,Ice Hockey,Sim,E
Visual,Basketball,Sim,E
Papyrus,Stock Car,Automobile,E
Sonic,Role-Playing,General,T
Angel,Action Adventure,Horror,M
Namco,Fighting,3D,T
Criterion,Arcade,Automobile,
Amusement,Racing,Futuristic,T
BioWare,Japanese-Style,Western-Style,M
From,Action RPG,Action RPG,M
EA,Basketball,Arcade,E
Black,Racing,Arcade,E
Rockstar,Modern,Open-World,M
Flagship,Action Adventure,Fantasy,E
EA,Football,Sim,E
EA,Football,Sim,E
Big,Real-Time,General,T
EA,Ice Hockey,Sim,E
Barking,Sci-Fi,General,E
Enhance,Puzzle,Stacking,E
Polytron,2D,2D,E
Nicalis,2D,2D,
From,Role-Playing,Action RPG,T
Telltale,General,Compilation,M
ArenaNet,General,Massively Multiplayer,T
Gearbox,Sci-Fi,Arcade,M
KCET,Soccer,Sim,E
Vicarious,Music,Music,T
Namco,Flight,Modern Jet,E
Remedy,Modern,Arcade,M
M2,Action,2D,
,Baseball,Sim,
EA,Baseball,Sim,E
EA,Golf,Sim,E
Ubisoft,Action Adventure,Modern,T
neo,Third-Person,Modern,M
Massive,Modern,General,T
Criterion,Arcade,Automobile,
EA,Sim,Sim,E
Square,Role-Playing,Massively Multiplayer,T
Eidos,First-Person,Sci-Fi,M
Intelligent,Turn-Based,Tactics,T
Sickhead,Role-Playing,General,
Konami,2D,2D,T
Moon,Platformer,2D,E
Electronic,Basketball,Arcade,E
Sonic,Platformer,3D,E
Papyrus,Stock Car,Automobile,E
3D,Sci-Fi,Arcade,M
Team,Third-Person,Modern,M
Capcom,Action Adventure,General,T
Supergiant,Role-Playing,Action RPG,
Crytek,Modern,Arcade,M
EA,Sci-Fi,Arcade,M
Ready,Action Adventure,General,
Electronic,Sim,Sim,E
Arkane,General,Modern,M
Mega,Turn-Based,Card Battle,
Firaxis,Sci-Fi,General,M
BioWare,Action RPG,Action RPG,M
Big,General,Historic,T
Atlus,,,M
Criterion,Racing,Arcade,E
Blue,Baseball,Sim,E
Papyrus,Stock Car,Automobile,E
Outrage,Sci-Fi,Arcade,T
Capcom,Action Adventure,Horror,M
LucasArts,General,General,E
UGA,Shooter,Rail,
From,Action RPG,Action RPG,M
Genki,Compilation,Compilation,M
EA,Modern,Arcade,M
Visceral,Sci-Fi,Arcade,M
Digital,Historic,Arcade,T
SquareSoft,Shooter,Scrolling,E
Eidos,First-Person,Sci-Fi,M
Starbreeze,First-Person,Sci-Fi,M
Telltale,General,Compilation,M
Respawn,First-Person,Tactical,T
EA,Sim,Sim,E
Aki,Fighting,Wrestling,T
Polyphony,Driving,Racing,E
BioWare,Action RPG,Western-Style,M
Harmonix,Music,Music,T
Intelligent,Turn-Based,Sci-Fi,E
Codemasters,Simulation,Automobile,T
Q,Matching,General,
Team,Third-Person,Modern,M
Insomniac,3D,3D,
Lucas,3D,First-Person,
PopCap,Puzzle,Action,E
Ubisoft,Action Adventure,Modern,M
Nintendo,2D,2D,E
KCET,Action Adventure,Horror,M
EA,First-Person,Tactical,M
Kojima,General,Modern,T
Sega,3D,3D,T
Nintendo,Puzzle,General,E
EA,First-Person,Sci-Fi,M
Visual,Basketball,Sim,E
Game,,,E
